[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:239]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:242]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:245]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:248]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:249]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:329]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:332]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:335]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:338]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:341]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:344]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:347]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:350]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:353]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:356]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:359]: (style) Suspicious condition (assignment + comparison); Clarify expression with parentheses.
[C:\Users\admin\Documents\study\Bitbucket Git\staticanalysis\Summary of static analysis in C & C++\overflow_vuln_func\function_data\func_3105.c:1]: (style) The function 'tiff_decode_tag' is never used.
